education_slice,test_precision,test_recall,test_fbeta
 HS-grad,0.5981308411214953,0.3699421965317919,0.45714285714285713
 12th,1.0,0.3333333333333333,0.5
 Some-college,0.6384976525821596,0.5055762081784386,0.5643153526970954
 Masters,0.8367346938775511,0.8770053475935828,0.856396866840731
 11th,1.0,0.1111111111111111,0.19999999999999998
 Bachelors,0.7505422993492408,0.7706013363028953,0.7604395604395603
 Assoc-acdm,0.7,0.625,0.6603773584905661
 1st-4th,1.0,0.0,0.0
 Doctorate,0.8571428571428571,0.9523809523809523,0.9022556390977443
 10th,0.625,0.3333333333333333,0.43478260869565216
 Assoc-voc,0.6491228070175439,0.5285714285714286,0.5826771653543307
 5th-6th,1.0,0.0,0.0
 Prof-school,0.8586956521739131,0.9186046511627907,0.8876404494382023
 7th-8th,1.0,0.18181818181818182,0.3076923076923077
 9th,1.0,0.14285714285714285,0.25
 Preschool,1.0,1.0,1.0
